팀,선수명,포지션,등번호,출전시간(분),득점,도움,슈팅,유효 슈팅,차단된슈팅,벗어난슈팅,PA내 슈팅,PA외 슈팅,오프사이드,프리킥,코너킥,스로인,드리블성공률,패스성공률,키패스,전방패스성공률,후방패스성공률,횡패스성공률,공격지역패스성공률,수비지역패스성공률,중앙지역패스성공률,롱패스성공률,중거리패스성공률,숏패스성공률,크로스성공률,탈압박,경합지상성공률,경합공중성공률,대클성공률,클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장
부산,김명준,DF,15,352,0,0,2,1,0,1,2,0,0,8,0,0,100,72.9,0,0,96.6,94,33.3,76.6,71.1,42,85.5,86.2,0,0,62.5,137.5,50,27,8,24,20,2,1,7,2,2,0
부산,김문환,DF,33,2298,1,0,13,3,7,3,5,8,0,12,0,209,36.4,84.6,14,0,98.9,89.2,78.7,77.8,89.3,64.2,81,89.9,21,0,45.6,38.2,45.5,27,47,122,202,7,12,25,23,7,0
부산,도스톤벡,DF,5,1289,1,0,2,1,0,1,2,0,2,20,0,2,0,89.1,1,0,100,98.7,72.7,89.4,89.5,73.9,91.2,92.8,50,0,62.5,204.2,66.7,42,24,80,94,10,1,15,12,2,0
부산,박준강,DF,3,1315,0,1,8,1,4,3,1,7,2,14,1,114,0,82.2,6,0,98,87.1,75.9,80.1,85.1,60,80.2,88.5,15.4,0,71.9,68.8,42.9,19,23,79,101,4,7,22,23,5,0
부산,윤석영,DF,17,480,0,0,2,0,1,1,0,2,0,10,4,41,0,77.1,3,0,100,84,62.2,71.2,84.7,50.9,78.4,87.6,21.1,0,30.8,53.8,60,7,4,24,43,3,2,2,7,1,0
부산,이상준,DF,26,853,0,0,3,0,0,3,1,2,1,2,0,51,50,68.7,3,0,95.1,59.6,50,67.9,79.5,48.9,59.6,77.8,8.1,0,57.1,23.8,33.3,19,6,39,67,2,6,6,4,1,0
부산,권용현,MF,13,47,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,100,50,100,0,50,0,0,75,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0
부산,권혁규,MF,30,831,1,0,13,6,3,4,8,5,1,0,0,1,0,80.9,2,0,94.6,79.1,69.5,85,88.2,68.8,81.1,81.9,0,0,23.5,29.4,33.3,3,9,24,36,1,8,21,12,4,0
부산,김명준,MF,15,102,0,0,0,0,0,0,0,0,0,3,0,0,100,79.5,0,0,100,75,0,84.2,82.6,69.2,84.6,83.3,0,0,100,150,100,5,2,13,8,0,0,2,1,0,0
부산,김병오,MF,7,246,0,0,0,0,0,0,0,0,0,0,0,0,33.3,81.8,2,0,96.8,71.4,60.7,90.9,94.7,33.3,84,87,0,1,50,25,0,0,5,3,16,1,6,5,3,0,0
부산,김승준,MF,22,513,0,0,3,1,0,2,1,2,0,2,0,2,0,81.7,3,0,92.6,75.9,75,79.2,86.4,80,87.8,80,0,0,14.3,14.3,66.7,7,9,9,29,0,2,9,9,0,0
부산,김정현,MF,14,525,0,0,7,0,3,4,2,5,0,10,0,0,0,83,2,0,98.1,98,79.2,83.6,83.2,39.1,86.8,87.2,0,1,50,70.8,66.7,20,17,34,72,3,2,12,14,3,0
부산,김진규,MF,23,208,0,0,3,0,1,2,1,2,0,8,0,0,0,73,0,0,100,79.5,60,93.3,74.3,70.6,78.4,70.5,42.9,0,50,75,0,2,2,8,21,0,1,4,1,0,0
부산,박종우,MF,8,1442,1,1,12,4,5,3,1,11,0,66,26,3,50,77.5,7,0,98.9,87.2,47.2,83.8,81.3,67.3,77.8,84.8,14.8,1,56.4,110.3,56.5,32,17,109,156,4,2,26,19,6,0
부산,이규성,MF,24,1955,1,1,17,2,8,7,7,10,0,22,6,7,50,85.7,16,0,96.9,92.1,76.3,82.4,89.8,78.2,89.9,85.2,21.7,2,45.7,15.2,28.6,13,18,50,157,3,3,17,22,2,0
부산,이동준,MF,11,1418,5,4,22,9,5,8,18,4,3,2,0,12,35.7,68.6,15,0,89.4,61.3,61,76.2,76.4,44,68.8,71.9,15.9,0,41.1,13.7,50,5,21,45,55,2,14,26,45,3,0
부산,호물로,MF,10,2194,3,4,36,10,14,12,9,27,0,102,74,6,36.4,76.9,37,0,97.6,83.4,57.4,74.6,86.4,56.2,81.6,83.4,25.2,1,43.8,18.8,0,21,26,77,194,12,9,31,49,2,0
부산,권용현,FW,13,76,0,0,1,0,0,1,1,0,0,0,0,1,0,80.8,0,0,100,88.9,63.6,100,92.9,0,40,90.5,0,0,33.3,0,0,0,1,2,2,0,0,1,4,0,0
부산,권혁규,FW,30,62,0,0,1,0,0,1,1,0,0,0,0,0,0,77.8,0,0,100,80,80,0,85.7,0,66.7,92.3,0,0,0,0,0,1,1,1,2,0,3,1,0,0,0
부산,김병오,FW,7,615,0,1,8,1,3,4,5,3,1,1,0,0,25,67.5,4,0,86.6,59.1,57.8,66.7,78.9,48,70.7,70.9,23.8,1,28.6,17.1,60,3,6,20,33,1,6,17,22,2,0
부산,김승준,FW,22,47,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3,1,0,83.3,100,83.3,100,80,100,50,88.9,0,0,50,50,0,0,1,0,1,0,0,0,0,0,0
부산,김현,FW,13,154,0,0,5,1,1,3,4,1,1,0,0,0,0,66.7,0,0,100,75,57.1,100,68.2,0,50,76.2,0,0,50,87.5,50,1,1,5,6,0,2,1,3,0,0
부산,빈치씽코,FW,9,370,0,0,5,0,1,4,5,0,2,0,0,1,0,56,1,0,100,66.7,52.6,0,58.1,50,40,64.1,33.3,0,75,437.5,75,5,2,6,12,0,4,6,7,1,0
부산,이동준,FW,11,1017,0,0,14,3,2,9,12,2,5,0,0,7,11.1,70.3,12,0,92.9,67,58.9,68.8,88.4,40,51,80.2,18.5,0,26.8,24.4,50,4,11,30,43,0,10,20,31,4,0
부산,이상준,FW,26,224,0,0,1,0,1,0,0,1,0,1,0,3,0,63.9,2,0,100,52,41.9,57.1,85.3,37.5,66.7,67.3,0,0,44.4,33.3,20,1,2,12,11,0,4,6,5,0,0
부산,이정협,FW,18,1752,6,2,27,18,4,5,23,4,10,0,0,1,0,68.8,12,0,87.6,62.6,66.9,73.9,69.7,69.6,67.6,69.1,27.3,1,19.4,154.8,33.3,12,8,10,35,1,9,15,27,0,0
부산,정성민,FW,20,72,0,0,1,0,1,0,1,0,0,0,0,0,0,80,1,0,80,100,66.7,0,100,0,0,80,0,0,0,200,0,2,0,1,2,0,1,3,1,0,0
부산,강민수,대기,4,31,0,0,0,0,0,0,0,0,0,0,0,0,0,92.3,0,0,100,100,0,100,90.9,0,100,100,0,0,66.7,66.7,0,4,1,4,0,0,0,1,0,0,0
부산,권용현,대기,13,61,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2,0,100,100,100,0,100,0,100,100,0,0,0,0,0,0,0,1,2,0,0,2,1,1,0
부산,권혁규,대기,30,50,0,0,1,0,0,1,1,0,0,1,0,0,0,82.6,0,0,100,90,75,100,84.6,0,100,83.3,0,0,66.7,0,0,0,1,2,5,0,0,3,1,0,0
부산,김동우,대기,6,78,0,0,0,0,0,0,0,0,0,0,0,0,0,90.5,0,0,100,100,0,77.8,100,66.7,100,100,100,0,0,100,0,5,1,2,2,0,0,0,0,0,0
부산,김명준,대기,15,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
부산,김문환,대기,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부산,김병오,대기,7,354,0,0,8,2,2,4,6,2,2,0,0,5,28.6,69.9,1,0,91.9,56.5,57.6,100,83.3,50,64.7,78.2,6.7,0,42.9,35.7,50,2,2,9,21,0,4,2,5,0,0
부산,김승준,대기,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,92.3,1,0,100,100,100,100,66.7,0,100,90,0,0,100,0,0,0,2,1,4,0,0,2,1,0,0
부산,김정현,대기,14,62,1,0,2,1,1,0,2,0,0,0,0,0,0,93.9,1,0,90,100,83.3,85.7,97.2,100,100,90,0,0,100,66.7,0,2,4,4,3,0,0,0,1,0,0
